01 L 1 21 Y,4377680.463,438762.271,18.337
01 L 2 19 Y,4377698.642,438762.563,18.507
02 L 1 13 N,4377698.649,438762.541,18.505
02 L 2 17 N,4377732.265,438762.172,18.475
02 L 3 29 N,4377741.077,438761.727,18.604
02 L 4 23 N,4377886.620,438761.782,18.415
03 L 1 23 Y,4377886.708,438761.876,18.432
03 L 2 23 Y,4377897.997,438761.942,18.464
04 L 1 38 N,4377849.509,438979.569,18.163
05 O 1 26 N,4377803.293,438978.878,18.205
04 L 2 36 N,4377732.679,438979.762,18.142
06 L 1 34 N,4377731.180,439041.224,18.016
06 L 2 31 N,4377880.855,439040.515,18.143
15 L 1 27 Y,4377879.511,439116.716,18.051
08 O 1 20 N,4377854.054,439115.782,16.612
09 O 1 20 N,4377812.733,439114.567,16.629
10 O 1 23 N,4377719.682,439112.130,16.590
07 L 2 29 N,4377713.894,439112.324,18.171
07 L 3 16 N,4377661.531,439112.242,17.995
11 O 1 25 N,4377690.304,439087.951,16.424
12 O 1 5 N,4377684.493,438983.266,16.539
13 L 1 6 N,4377685.904,439016.600,17.764
13 L 2 6 N,4377694.283,439017.892,17.690
14 O 1 5 N,4377683.192,438946.440,17.888
07 L 1 34 N,4377874.451,439116.385,17.720
15 L 2 27 Y,4377874.458,439116.428,17.686
